Node ID,Protein ID,Protein Name,Disease Node,Degree,LCI
1,2,,0,105,
16388,23450,,0,489,
16389,23451,,0,446,
6,10,,0,24,
8193,10163,,0,43,
6828,8554,,0,191,
16394,56226,,0,8,
11,16,,0,55,
13,18,,0,46,
16398,23462,,0,26,
8207,10179,,0,64,
5464,6709,,0,197,
8211,10188,,0,94,
20,25,,0,389,
8213,10190,,0,70,
25,30,,0,54,
16410,23476,,0,76,
29,34,,0,88,
30,35,,1,38,25.0
31,36,,0,47,
34,39,,0,67,
8227,10206,,0,25,
16422,56257,,0,186,
16424,56259,,0,171,
41,47,,0,74,
8234,10213,,0,120,
44,50,,0,36,
45,51,,0,51,
16430,23498,,0,7,
16431,23499,,0,74,
51,58,,1,200,9432.0
52,59,,0,95,
53,60,,1,466,8.0
8246,10226,,0,84,
8248,10228,,0,61,
59,70,,0,65,
16444,23512,,0,338,
8202,10174,,0,156,
8254,10236,,0,273,
8256,10238,,0,62,
65,81,,0,153,
66,86,,0,155,
67,87,,0,164,
68,88,,0,105,
16453,23521,,0,273,
70,90,,1,121,266.0
71,91,,0,51,
8264,10247,,0,25,
73,93,,0,35,
74,94,,0,22,
8267,10250,,0,277,
16460,23528,,0,56,
16461,23529,,1,5,320.0
8270,10253,,0,130,
16465,23533,,0,11,
82,103,,0,75,
9571,12306,,0,9,
8277,10262,,1,248,3656.0
8278,10263,,0,18,
89,112,,0,33,
8284,10270,,0,69,
95,118,,0,79,
16481,23551,,0,22,
8290,10277,,0,79,
8292,337959,,0,83,
5892,100506658,,0,33,
8295,10283,,0,93,
8296,10284,,0,149,
8297,10285,,0,173,
8298,10286,,0,234,
8299,337967,,0,188,
16492,23564,,0,38,
16494,56334,,0,116,
8303,10291,,0,291,
8305,337973,,0,67,
117,142,,0,286,
8212,10189,,0,252,
16508,23582,,0,155,
16510,23584,,0,28,
129,154,,0,276,
134,159,,0,44,
135,160,,0,121,
136,161,,0,64,
137,162,,0,93,
138,163,,0,127,
139,164,,0,62,
141,166,,0,301,
16527,23603,,0,103,
16529,220213,,0,9,
16530,23607,,0,118,
2755,3376,,0,109,
149,178,,0,56,
16534,23612,,0,98,
8217,10196,,0,45,
8344,171024,,0,21,
154,185,,0,42,
8347,10342,,0,175,
8218,10197,,0,195,
159,191,,0,85,
161,196,,0,49,
16550,23632,,0,44,
16551,23633,,0,81,
168,207,,1,378,2.0
169,208,,0,129,
8362,10362,,0,86,
8363,10363,,0,87,
8364,10365,,0,10,
174,213,,0,200,
8368,10370,,0,22,
177,216,,0,44,
178,217,,0,80,
179,218,,0,54,
180,219,,0,83,
181,220,,0,45,
182,221,,0,77,
183,222,,0,48,
184,223,,0,58,
185,224,,0,106,
16570,56420,,0,31,
187,226,,0,141,
188,55655,,0,36,
190,230,,0,94,
16575,23658,,0,24,
195,238,,0,98,
16580,1879,,0,14,
197,240,,0,31,
8391,10399,,0,286,
16584,23673,,0,98,
8393,10401,,0,69,
13687,4961464,,0,7,
8399,10409,,0,56,
8401,10411,,0,15,
210,259,,0,20,
8403,10413,,0,137,
213,267,,0,113,
215,269,,0,7,
8409,10419,,0,360,
8411,10421,,0,194,
220,274,,1,70,16422.0
8416,10426,,0,144,
8417,10427,,0,35,
8421,10432,,0,117,
16616,154796,,0,133,
8425,10436,,0,103,
236,291,,0,68,
237,292,,0,335,
238,293,,0,207,
16624,23741,,0,27,
241,301,,0,169,
242,302,,0,200,
8435,10449,,0,55,
8436,10450,,0,178,
8438,10452,,0,117,
8233,10212,,0,84,
8440,10454,,0,172,
249,309,,0,107,
250,310,,0,142,
16636,23759,,0,156,
42,48,,0,23,
8446,10460,,0,79,
8447,10461,,0,12,
8451,10465,,0,160,
261,322,,0,95,
262,323,,0,29,
263,324,,0,301,
265,326,,0,94,
8459,10474,,0,80,
268,329,,0,142,
269,330,,0,87,
8462,10477,,0,117,
273,334,,0,45,
8466,23592,,0,34,
8467,10482,,0,1153,
8468,10483,,0,54,
277,338,,0,69,
16663,23790,,0,146,
8472,10487,,0,49,
284,348,,0,70,
8477,10492,,0,459,
8478,10493,,0,20,
287,351,,0,2132,
16673,126074,,0,9,
8483,10498,,0,96,
8484,10499,,0,103,
293,358,,0,107,
16680,353497,,0,10,
16682,23834,,0,19,
301,367,,0,301,
303,369,,0,104,
306,373,,0,265,
8500,10521,,0,290,
8502,10523,,0,97,
8503,10524,,0,265,
8504,10525,,0,80,
313,382,,0,143,
8506,10527,,0,94,
316,387,,0,185,
8510,10533,,0,52,
8511,10534,,0,112,
8512,10535,,0,41,
321,392,,0,48,
8514,10537,,0,23,
8516,10539,,0,116,
16709,56655,,0,32,
8519,10542,,0,54,
1420,1716,,0,67,
334,405,,0,60,
335,406,,0,38,
337,408,,0,314,
338,409,,0,366,
339,410,,0,32,
340,411,,0,15,
346,419,,0,24,
8542,10569,,0,187,
10981,80306,,0,85,
8547,10574,,0,189,
356,65970,,0,129,
8549,10576,,0,217,
360,440,,0,82,
8553,10580,,0,46,
8556,23609,,0,20,
13803,84914,,0,108,
8253,10235,,0,6,
8562,10589,,0,56,
8565,10592,,0,84,
8567,10594,,0,294,
16762,155030,,0,177,
8571,10598,,0,167,
384,466,,0,40,
385,467,,0,63,
386,468,,0,89,
388,471,,0,75,
389,472,,0,218,
16774,286128,,0,46,
8583,10611,,0,56,
393,476,,0,160,
8587,10615,,0,83,
8588,10616,,0,93,
8589,10617,,0,67,
8590,10618,,0,65,
8592,10621,,0,43,
8259,10241,,0,202,
8597,10627,,0,66,
5469,6714,,0,525,
412,80760,,0,10,
413,498,,0,213,
416,501,,0,75,
418,506,,0,158,
8611,10642,,0,256,
8612,10643,,0,293,
16454,23522,,1,66,192.0
8614,10645,,0,32,
14,19,,0,54,
427,515,,0,100,
8620,10653,,0,102,
8623,10657,,0,191,
432,522,,0,54,
72,92,,0,33,
434,22931,,1,21,2582.0
8627,10661,,0,22,
8629,10664,,0,53,
8265,10248,,0,31,
16824,56852,,0,76,
8636,10672,,0,57,
448,539,,0,106,
8642,10682,,1,29,4909.0
453,545,,1,134,2706.0
454,546,,0,58,
2470,3030,,0,106,
457,549,,0,29,
16843,56886,,0,58,
16845,56888,,0,61,
8654,10694,,0,181,
8269,10252,,0,88,
16850,56893,,0,193,
8661,10713,,0,199,
8662,10714,,0,39,
472,571,,0,51,
473,572,,0,70,
474,573,,0,82,
985,1163,,0,81,
8671,10724,,0,34,
481,580,,0,282,
482,581,,0,86,
6907,8651,,0,76,
485,22933,,0,64,
8679,10733,,0,67,
16872,56916,,0,126,
16876,64100,,0,20,
16466,56302,,0,23,
495,595,,0,112,
496,596,,0,136,
8689,253012,,0,34,
498,598,,0,112,
6910,8655,,0,294,
502,602,,0,52,
503,604,,0,158,
504,605,,0,23,
8699,10758,,0,42,
509,613,,0,97,
8702,10762,,0,99,
8706,10767,,0,27,
8707,10768,,0,153,
16900,56949,,0,193,
8709,10771,,0,61,
523,633,,0,17,
524,634,,0,26,
526,636,,0,17,
8719,10783,,0,151,
8722,10787,,0,44,
531,641,,0,100,
532,642,,0,61,
16473,23542,,0,94,
537,648,,0,399,
539,650,,0,24,
8732,10801,,0,60,
8733,10802,,0,57,
6917,8662,,0,140,
544,655,,0,48,
546,657,,0,49,
547,658,,0,122,
16932,56992,,0,27,
549,660,,0,32,
8744,10815,,1,40,3881.0
16476,23545,,1,22,6350.0
