Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C1857287,Stroke-like episodes,0.6,1949.1,0.14821504132169477,4207.6,0.8935768320415836,0.7
C0392386,Decreased platelet count,0.02727272727272727,2686.589285714286,0.01060126922148217,6086.303571428572,0.8740696602301872,0.12424242424242424
C0030297,Pancreatic Neoplasm,0.0,7086.186046511628,0.004651983320457518,4990.081395348837,0.6715118971843157,0.05972222222222222
C0233514,Abnormal behavior,0.13999999999999999,4580.3725490196075,0.04939081658070029,5346.490196078431,0.7851215164760222,0.2566666666666667
C1400105,Hypertrophy of nose,0.03333333333333333,1789.2173913043478,0.010436749923882337,6736.913043478261,0.9085330175536364,0.31666666666666665
C0021368,Inflammation,0.04469696969696969,4383.267857142857,0.01891333487859857,4633.205357142857,0.7972552406791158,0.13484848484848483
C0035304,Retinal Degeneration,0.065,3853.0208333333335,0.013186983124782314,7297.4375,0.8172266260635082,0.085
C4020869,Abnormality of the abdomen,0.25,1238.5384615384614,0.02605354029825967,4422.923076923077,0.9540835035276641,0.6
C4020813,Increased gastric cancer,0.05,508.1904761904762,0.020310574804885552,3532.9523809523807,0.9759224863793957,0.5833333333333333
C1850072,Tented upper lip,0.0,7265.105263157895,0.0008703884992887706,4922.315789473684,0.6235455938341536,0.0
C2931673,"Ceroid lipofuscinosis, neuronal 1, infantile",0.0,12967.5,0.000271251369908216,7704.3,0.3982224903698891,0.0
C1850049,Bilateral fifth finger clinodactyly,0.02727272727272727,2970.137614678899,0.02641350014392347,5734.4495412844035,0.8621888881353634,0.10909090909090909
C0339063,Cellulitis of eyelid,0.25,3186.0,0.017503703320810252,6578.058823529412,0.8659052924791087,0.25
C0265989,Congenital scar,0.35,597.2307692307693,0.061339753439911285,3261.5384615384614,0.9815667935388044,0.8
C0040136,Thyroid Neoplasm,0.0,5980.405405405405,0.005793283407407387,5109.5675675675675,0.7250667983271375,0.14166666666666666
C1862475,Abnormality of retinal pigmentation,0.07454545454545454,2664.240740740741,0.015688055183557547,7132.712962962963,0.8766675284713422,0.17545454545454547
C1561643,Chronic Kidney Diseases,0.0,6656.384615384615,0.0002763163621599429,7668.307692307692,0.673657398811734,0.0
C0018991,Hemiplegia,0.0,7306.2307692307695,0.0035861597703861457,3395.3076923076924,0.6536460267359823,0.2
C4024996,Aplasia/Hypoplasia of the lungs,0.0,6983.461538461538,0.00046863042421970986,4171.461538461538,0.6556048087634607,0.0
C0004364,Autoimmune Diseases,0.016666666666666666,2691.390625,0.007052005816557424,5216.5625,0.8739173662299796,0.09285714285714286
C3277059,Congenital Bilateral Cataracts,0.02,2820.2,0.009055387011999363,4787.0,0.8656237504068443,0.06000000000000001
C0026010,Microphthalmos,0.06222222222222222,3387.4375,0.022234537825441752,7334.90625,0.8412897038037992,0.13555555555555557
C0424585,Tires quickly,0.3,5214.833333333333,0.09803111404049439,4993.166666666667,0.7409942430010678,0.3
C4025763,Abnormality of the rib cage,0.0,2746.0,0.0016527879375785215,4668.833333333333,0.849087955442098,0.05
