Disease ID,Disease Name,Recall-at-100,Recall-at-25,Ranks,AUROC,Mean Average Precision,Fold Recall-at-100
C0036095,Salivary Gland Neoplasms,0.0,0.0,7036.272727272727,0.6833505322363223,0.0008023352713030344,0.19
C0033941,"Psychoses, Substance-Induced",0.05,0.05,4280.294117647059,0.8217258588672239,0.002709494543718752,0.4
C0043459,Zellweger Syndrome,0.9,0.65,23.666666666666668,0.9988162658991738,0.33053362903173406,1.0
C0033860,Psoriasis,0.12142857142857141,0.06190476190476189,7029.578125,0.6689794351649375,0.023193087433412637,0.29047619047619044
C0027726,Nephrotic Syndrome,0.16666666666666666,0.13333333333333333,3283.714285714286,0.8278812221396731,0.038603091647269605,0.6
C0338480,Common Migraine,0.0,0.0,10860.0,0.44674417525294724,0.00013419182270054785,0.15
C0026636,Mouth Diseases,0.1,0.1,5471.0,0.7359248085402647,0.012839607688807228,0.25
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,0.8666666666666666,0.5333333333333333,1488.4814814814815,0.9375654126025701,0.04309451616979177,0.9
C0236969,Substance-Related Disorders,0.04909090909090909,0.02,8656.771428571428,0.5992613954197956,0.0018937725892596478,0.14454545454545456
C0002878,"Anemia, Hemolytic",0.25,0.2,4208.0,0.7910037131585055,0.006787039338033231,0.6
C0003873,Rheumatoid Arthritis,0.047619047619047616,0.0047619047619047615,7810.772511848341,0.6345950182582338,0.004294569962098793,0.17121212121212123
C0003872,"Arthritis, Psoriatic",0.1,0.0,4138.133333333333,0.8104667626032868,0.0011624633541540749,0.45
C0002871,Anemia,0.03333333333333333,0.03333333333333333,7351.923076923077,0.6468990447881349,0.0024636409130484307,0.26666666666666666
C0206698,Cholangiocarcinoma,0.13333333333333333,0.13333333333333333,3544.5416666666665,0.838897660954504,0.014519908794348205,0.2833333333333333
C0206754,Neuroendocrine Tumors,0.3,0.3,2728.6,0.8734116118253121,0.031347105952934246,0.3
C0024530,Malaria,0.05,0.05,5969.2,0.7138169197195524,0.001619983119094455,0.4
C0598608,Hyperhomocysteinemia,0.0,0.0,6321.090909090909,0.6997702589807854,0.0002790336389075593,0.25
C0019693,HIV Infections,0.10111111111111111,0.02,3014.808080808081,0.8585978293513945,0.008331295091642297,0.4833333333333333
C0038013,Ankylosing spondylitis,0.05,0.0,7119.428571428572,0.6512370607621966,0.000510837828820755,0.15
C0010606,Adenoid Cystic Carcinoma,0.061111111111111116,0.01111111111111111,6854.060606060606,0.6831040223278549,0.004317332173151168,0.27444444444444444
C3495559,Juvenile arthritis,0.025,0.008333333333333333,7821.573770491803,0.6348008140292956,0.00214235002526356,0.13076923076923078
C0027659,"Neoplasms, Experimental",0.15833333333333333,0.05833333333333333,3644.878787878788,0.8334161865824198,0.008728829289870284,0.4583333333333333
C0027658,"Neoplasms, Germ Cell and Embryonal",0.2,0.2,7967.076923076923,0.6434053564797624,0.0197348902664575,0.2
C0002171,Alopecia Areata,0.3333333333333333,0.2222222222222222,6984.111111111111,0.6921137305859785,0.025289530050510742,0.5555555555555556
C0002170,Alopecia,0.05,0.0,8406.57142857143,0.6293471197140603,0.0012756626208843044,0.2
C0428977,Bradycardia,0.45,0.31666666666666665,6361.25,0.7234914627161411,0.0313549558520416,0.5333333333333333
C0009447,Common Variable Immunodeficiency,0.45,0.15,3735.4166666666665,0.8057948479925736,0.016916875423988266,0.6
C0017658,Glomerulonephritis,0.25,0.21666666666666665,1511.0,0.9338365305711676,0.04414250286187691,0.7
C0001973,"Alcoholic Intoxication, Chronic",0.05833333333333333,0.0,6208.5,0.7071504639310996,0.0019489675049058526,0.275
C0273115,Lung Injury,0.05,0.05,3869.0,0.8204229929888098,0.051073997911628734,0.35
C1136249,"Mental Retardation, X-Linked",0.0,0.0,9259.5,0.5967767770091462,0.00020781207411948245,0.1
C0038454,Cerebrovascular accident,0.175,0.08333333333333333,3700.4594594594596,0.8347972815985131,0.006349635838406084,0.4083333333333333
C0019284,Diaphragmatic Hernia,0.0,0.0,4979.45,0.7686910349955849,0.0013756229404205263,0.35
C0282612,Prostatic Intraepithelial Neoplasias,0.3,0.3,602.6363636363636,0.9700176366843033,0.20654406360474126,0.7
