Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
1,2,A2M,0,105,
8195,10165,SLC25A13,0,96,
16388,23450,SF3B3,0,489,
16389,23451,SF3B1,0,446,
6,10,NAT2,0,24,
6828,8554,PIAS1,0,191,
8202,10174,SORBS3,0,156,
8211,10188,TNK2,0,94,
20,25,ABL1,0,389,
8216,10195,ALG3,1,11,4967.0
25,30,ACAA1,0,54,
26,31,ACACA,0,84,
8457,10472,ZBTB18,1,13,12513.0
29,34,ACADM,0,88,
30,35,ACADS,0,38,
31,36,ACADSB,0,47,
33,38,ACAT1,0,80,
34,39,ACAT2,0,67,
16419,56254,RNF20,0,83,
8228,10207,PATJ,0,76,
16422,56257,MEPCE,0,186,
8232,10211,FLOT1,0,121,
8233,10212,DDX39A,0,84,
45,51,ACOX1,1,51,365.0
46,52,ACP1,0,48,
16431,23499,MACF1,0,74,
51,58,ACTA1,0,200,
53,60,ACTB,0,466,
8248,10228,STX6,0,61,
16444,23512,SUZ12,0,338,
8254,10236,HNRNPR,0,273,
16449,23517,MTREX,0,252,
66,86,ACTL6A,0,155,
8259,10241,CALCOCO2,0,202,
16453,23521,RPL13A,0,273,
8262,10244,RABEPK,0,9,
8267,10250,SRRM1,0,277,
16462,23530,NNT,0,47,
8273,10256,CNKSR1,0,25,
82,103,ADAR,0,75,
84,105,ADARB2,0,10,
86,108,ADCY2,0,27,
8279,23556,PIGN,1,7,382.0
88,111,ADCY5,0,42,
16473,23542,MAPK8IP2,0,94,
8284,10270,AKAP8,0,69,
8287,10273,STUB1,0,258,
8288,10274,STAG1,0,41,
16481,23551,RASD2,0,22,
8290,10277,UBE4B,0,79,
8296,10284,SAP18,0,149,
105,128,ADH5,0,42,
16490,23560,GTPBP4,0,186,
8299,337967,KRTAP6-2,0,188,
8301,10289,EIF1B,0,171,
8303,10291,SF3A1,0,291,
117,142,PARP1,0,286,
8310,10298,PAK4,0,46,
16404,23468,CBX5,0,198,
16508,23582,CCNDBP1,0,155,
129,154,ADRB2,0,276,
134,159,ADSS,0,44,
135,160,AP2A1,0,121,
137,162,AP1B1,0,93,
138,163,AP2B1,0,127,
16524,23600,AMACR,0,5,
141,166,AES,0,301,
16527,23603,CORO1C,0,103,
16529,220213,OTUD1,0,9,
16530,23607,CD2AP,0,118,
149,178,AGL,1,56,8844.0
16534,23612,PHLDA3,0,98,
20505,653361,NCF1,0,49,
154,185,AGTR1,0,42,
8347,10342,TFG,0,175,
16410,23476,BRD4,0,76,
159,191,AHCY,0,85,
161,196,AHR,0,49,
162,197,AHSG,0,19,
